,id,track_name,artist,album_name,album_release_date,album_track_num,album_track_placement,genre,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
81,3nmtqcKp4yOago0ArxACze,Omens,Elder,Omens,2020-04-24,1,0.2,,10.877550000000001,False,22,0.488,0.899,4,-8.356,0,0.0442,7.99e-05,0.195,0.17,0.205,124.97,4
82,1BhRBAX9zbp2YoxMVTHKMh,The White,Heretoir,The Circle,2017-03-24,2,0.18181818181818182,,4.42755,False,26,0.248,0.921,2,-6.792,1,0.0977,2.25e-05,0.00812,0.321,0.0634,108.88,3
83,3giwzYf1Uvl9k1jEka0ANd,Aska,Katla,Móðurástin,2017-10-27,1,0.125,,4.5873333333333335,False,0,0.191,0.483,4,-6.203,0,0.0409,0.000278,0.74,0.184,0.0371,120.06,3
84,1Jaq23fcK73bZ8pNi1V0oU,The Power Cosmiq,Cannibal Ox,Blade of the Ronin (Deluxe Edition),2015-03-03,4,0.17391304347826086,,4.904750000000001,True,10,0.302,0.923,11,-4.922,1,0.307,0.211,0.0,0.0494,0.555,79.841,4
85,2aVtYQz5DuBq5u1tsNkWgg,Hyldýpi,Katla,Móðurástin,2017-10-27,2,0.25,,5.001333333333333,False,0,0.401,0.752,0,-6.47,1,0.0316,0.000486,0.339,0.131,0.0745,140.05,5
86,7FqSdRrP9MNFLcywnqurmx,Entity Dissolving Entity,Defeated Sanity,The Sanguinary Impetus,2020-07-24,4,0.4444444444444444,,3.7257666666666664,False,15,0.217,0.882,9,-9.429,1,0.0836,0.00095,0.909,0.134,0.393,108.58,4
87,75iDaGWack16vFbwSlTJut,The Bray Road Beast,The Besnard Lakes,A Coliseum Complex Museum,2016-01-22,1,0.125,,5.500166666666667,False,0,0.283,0.714,7,-7.778,1,0.0401,0.4,0.199,0.325,0.129,149.851,4
88,4cQoLN88Czh68CjxwcUPVD,Sanctuary,Elder,Reflections of a Floating World,2017-06-02,1,0.16666666666666666,,11.227766666666668,False,33,0.197,0.754,5,-6.854,1,0.0539,5.89e-05,0.711,0.113,0.108,121.08,4
89,52tILLw5fRKqPbe5ps1QLL,Honey,Moby,Play & Play: B Sides,2008-06-02,1,0.034482758620689655,,3.4915499999999997,False,46,0.824,0.688,8,-8.573,1,0.0331,0.13,0.225,0.0672,0.745,102.108,4
90,4cCi8XH9Q9KWQFWVs3Xggr,Mysterium,Liturgy,Renihilation,2009,3,0.2727272727272727,,4.720216666666667,False,7,0.213,0.323,4,-5.553,0,0.094,1.63e-05,0.956,0.126,0.0368,95.272,3
91,1SzDxLmcFGx2jnEaXohQOC,Gigantos,Skraeckoedlan,Sagor,2015-06-10,2,0.2,,7.4491000000000005,False,17,0.124,0.94,0,-5.228,0,0.123,0.000138,0.822,0.193,0.137,187.443,3
